OCC|Date exportation|Devise|EQ DT|EQ EU|PT|PU|Pays d'exportation|Quantite|Produit
ccpb|2025-01-15|3.31|15014.16|4536|4536.0|1.0|France|4536.0|orange 
ccpb|2025-01-15|3.31|29528.51|8921|8921.0|1.0|France|8921.0|orange 
ccpb|2025-01-27|3.32|17892.144|5389.2|5389.2|1.2|France|4491.0|orange 
ccpb|2025-01-27|3.32|46015.2|13860|13860.0|1.2|France|11550.0|orange 
ccpb|2025-01-31|3.32|36453.6|10980|10980.0|1.2|France|9150.0|orange 
ccpb|2025-01-31|3.32|23557.392|7095.599999999999|7095.599999999999|1.2|France|5913.0|orange 
ccpb|2025-02-07|3.3|35259.84|10684.8|10684.8|1.4|France|7632.0|orange 
ccpb|2025-02-07|3.3|41580.0|12600|12600.0|1.2|France|10500.0|orange 
ccpb|2025-02-14|3.31|42289.884|12776.4|12776.4|1.2|France|10647.0|orange 
ccpb|2025-02-14|3.31|28434.224|8590.4|8590.4|1.4|France|6136.0|orange 
ccpb|2025-02-28|3.31|46472.4|14040|14040.0|1.2|France|11700.0|orange 
ccpb|2025-02-28|3.31|6144.683999999999|1856.4|1856.4|1.4|France|1326.0|orange 
ccpb|2025-03-07|3.34|17042.35|5102.5|5102.5|1.3|France|3925.0|orange 
ccpb|2025-03-07|3.31|20853.0|6300|6300.0|9.0|Pologne|700.0|Pépins de figue de barbarie
ccpb|2025-05-19|3.37|241561.6|71680|71680.0|71.68|Espagne|1000.0|Huile essentielle de romarin
ccpb|2025-11-07|3.4|9180.0|2700|2700.0|13.5|France|200.0|Poudre d'Algues
ccpb|2025-11-28|3.4|869.41|255.71|255.71||Espagne|35.0|Huile de pépin de figue de barbarie
ecocert|2025-02-10|1.0|113664.0|35520|35520.0|3552.0|France|10.0|inconnu
ecocert|2025-02-05|1.0|2763.0|921|921.0|92.1|Belgique|10.0|inconnu
ecocert|2025-02-06|1.0|59850.0|19950|19950.0|66.5|France|300.0|inconnu
ecocert|2025-02-07|1.0|46246.2|15415.4|15415.4|3.85|Allemagne|4004.0|inconnu
ecocert|2025-02-08|0.9994485800937413|87000.0|29000|29000.0|72.54|France|400.0|inconnu
ecocert|2025-02-07|1.0|45056.8|13600|13600.0|2.125|france|6400.0|Huile de pépin de figue de barbarie
ecocert|2025-02-14|1.0|4517.92|1360|1360.0|1.7|france|800.0|orange maltise 
ecocert|2025-04-04|1.0|71943.3|21285|21285.0|2.15|belgique|9900.0|feuilles de remarin
ecocert|2025-04-07|1.0|71730.45|21285|21285.0|2.15|belgique|9900.0|feuilles de remarin
ecocert|2025-05-20|1.0|71730.45|21285|21285.0|2.15|belgique|9900.0|feuilles de remarin
ecocert|2025-05-28|1.0|71943.3|21285|21285.0|2.15|belgique|9900.0|feuilles de remarin
ecocert|2025-06-02|1.0|67899.5688|20148.24|20148.24|3.35|france|6014.4|couscous
ecocert|2025-06-02|1.0|60245.57088000001|17877.024|17877.024|2.97|france|6019.2|bourghoul
ecocert|2025-06-02|1.0|2125.796|630.8000000000001|630.8000000000001|4.15|france|152.0|coriandre
ecocert|2025-06-02|1.0|9786.48|2904|2904.0|11.0|france|264.0|mente séché
ecocert|2025-06-20|1.0|195266.225|57942.5|57942.5|10.78|france|5375.0|amande décortiqué
ecocert|2025-07-03|1.0|15360.0|4800|4800.0|3.0|Espagne|1600.0|H.E ROMARIN
ecocert|2025-07-04|1.0|48000.0|15000|15000.0|3.0|Italie|5000.0|Feuilles Olive
ecocert|2025-07-08|1.0|192000.0|60000|60000.0|3.0|France|20000.0|EAU DE FLEURS D,ORANGER
ecocert|2025-07-15|1.0|561920.0|175600|175600.0|4390.0|Allemagne|40.0|Neroli
ecocert|2025-07-18|1.0|83200.0|26000|26000.0|65.0|France|400.0|H.E ROMARIN
ecocert|2025-08-28|1.0|104560.0|32675|32675.0|65.35|France|500.0|H.E ROMARIN
ecocert|2025-09-03|1.0|151603.2|47376|47376.0|65.8|France|720.0|H.E ROMARIN
ecocert|2025-09-03|1.0|44160.0|13800|13800.0|6.9|France|2000.0|poudre de nopal
ecocert|2025-09-12|1.0|122400.0|38250|38250.0|2.55|France|15000.0|EAU DE FLEURS D,ORANGER
ecocert|2025-09-12|1.0|184320.0|57600|57600.0|72.0|Allemagne|800.0|H.E ROMARIN
ecocert|2025-09-12|1.0|44160.0|13800|13800.0|6.9|France|2000.0|poudre de nopal
ecocert|2025-10-01|1.0|118264.32|36957.6|36957.6|1.77|Espagne|20880.0|FIGUES DE BARBARIES
ecocert|2025-10-02|1.0|3046400.0|896000|896000.0|70.0|Belgique|12800.0|feuilles de remarin
ecocert|2025-10-02|1.0|43860.0|12900|12900.0|1.29|France|10000.0|EAU DE FLEURS D,ORANGER
ecocert|2025-10-06|1.0|768740.0|226100|226100.0|66.5|Espagne|3400.0|H.E ROMARIN
ecocert|2025-10-06|1.0|125655.84|36957.6|36957.6|1.77|Espagne|20880.0|FIGUES DE BARBARIES
ecocert|2025-10-08|1.0|63811.2|18768|18768.0|170.0|Espagne|110.4|Huile de pépins de figue de barbarie bio
ecocert|2025-10-08|1.0|125655.84|36957.6|36957.6|1.77|Espagne|20880.0|FIGUES DE BARBARIES
ecocert|2025-10-09|1.0|81702.0|24030|24030.0|3.0|Italie|8010.0|feuilles de remarin
ecocert|2025-10-09|1.0|10210.2|3003|3003.0|3.0|Italie|1001.0|feuilles de remarin
ecocert|2025-10-10|1.0|125655.84|36957.6|36957.6|1.77|Espagne|20880.0|FIGUES DE BARBARIES
ecocert|2025-10-13|1.0|125655.84|36957.6|36957.6|1.77|Espagne|20880.0|FIGUES DE BARBARIES
ecocert|2025-10-13|1.0|26690.0|7850|7850.0|1.57|France|5000.0|feuilles de remarin
ecocert|2025-10-14|1.0|122094.0|35910|35910.0|66.5|Autriche|540.0|H.E ROMARIN
ecocert|2025-10-16|1.0|125655.84|36957.6|36957.6|1.77|Espagne|20880.0|FIGUES DE BARBARIES
ecocert|2025-10-17|1.0|125655.84|36957.6|36957.6|1.77|Espagne|20880.0|FIGUES DE BARBARIES
ecocert|2025-10-20|1.0|125655.84|36957.6|36957.6|1.77|Espagne|20880.0|FIGUES DE BARBARIES
ecocert|2025-10-22|1.0|120841.44|35541.6|35541.6|1.77|Espagne|20080.0|FIGUES DE BARBARIES
ecocert|2025-10-24|1.0|952000.0|280000|280000.0|70.0|France|4000.0|H.E ROMARIN
ecocert|2025-10-27|1.0|125655.84|36957.6|36957.6|1.77|Espagne|20880.0|FIGUES DE BARBARIES
ecocert|2025-12-03|1.0|5711.75|1675|1675.0|3.35|France|500.0|couscous
ecocert|2025-12-03|1.0|5063.85|1485|1485.0|2.97|france|500.0|bourghoul
ecocert|2025-12-03|1.0|56526.0696|16576.56|16576.56|8.19|france|2024.0|mente seché
ecocert|2025-12-15|1.0|16440.918975|4807.28625|4807.28625|95.43|france|50.375|fleur de figur de barbarie
ecocert|2025-12-15|1.0|62192.8368|18185.04|18185.04|336.76|france|54.0|Huile de pépins de figue de barbarie bio
ecocert|2025-12-25|1.0|678583.18|198998|198998.0|13.63|france|14600.0|amande crue
ecocert|2025-12-25|1.0|109283.68|32048|32048.0|40.06|france|800.0|pistache
les molins mahjoub|2025-01-18|1.0|532.4246928|160.8048|160.8048|10.308|danemark|15.6|olive en saumure
les molins mahjoub|2025-01-19|1.0|1430.352|432|432.0|12.0|danemark|36.0|tomate séché
les molins mahjoub|2025-01-20|1.0|913.836|276|276.0|11.5|danemark|24.0|pâte de tomate séché
les molins mahjoub|2025-01-21|1.0|2115.7081407|638.9937|638.9937|19.189|danemark|33.3|harissa traditionnelle
les molins mahjoub|2025-01-22|1.0|423.1656659999999|127.806|127.806|6.265|danemark|20.4|sauce tibar
les molins mahjoub|2025-01-23|1.0|2630.884179|794.589|794.589|7.655|danemark|103.8|m'hamsa
les molins mahjoub|2025-01-24|1.0|542.3418|163.8|163.8|5.46|danemark|30.0|couscous
les molins mahjoub|2025-01-25|1.0|492.6132288|148.7808|148.7808|2.46|danemark|60.48|pâte alimentaire
les molins mahjoub|2025-01-26|1.0|1112.48328576|335.99616|335.99616|10.294|danemark|32.64|shak shuka
les molins mahjoub|2025-01-27|1.0|1070.4039192|323.2872|323.2872|14.967|danemark|21.6|artichaut
les molins mahjoub|2025-01-28|1.0|216.1440666|65.2806|65.2806|12.089|danemark|5.4|sauce de citron et figue
les molins mahjoub|2025-02-12|1.0|774.774|234|234.0|10.0|belgique|23.4|olive en saumure
les molins mahjoub|2025-02-13|1.0|393.3468|118.8|118.8|9.9|belgique|12.0|olive à l'ail
les molins mahjoub|2025-02-14|1.0|1366.7370948|412.7868|412.7868|18.594|belgique|22.2|harissa traditionnelle
les molins mahjoub|2025-02-15|1.0|43387.344|13104|13104.0|5.46|belgique|2400.0|m'hamsa
les molins mahjoub|2025-02-16|1.0|734.664546|221.886|221.886|2.935|belgique|75.6|pâte alimentaire
les molins mahjoub|2025-02-17|1.0|2224.992|672|672.0|7.0|belgique|96.0|citron confit
les molins mahjoub|2025-02-18|1.0|9933.079463999999|3000.024|3000.024|7.353|belgique|408.0|shak shuka
les molins mahjoub|2025-02-19|1.0|1489.95|450|450.0|12.5|belgique|36.0|artichaut
les molins mahjoub|2025-02-20|1.0|1938.8937876|585.5916|585.5916|13.189|belgique|44.4|pate d'artichaut
les molins mahjoub|2025-02-27|1.0|834.372|252|252.0|4.0|france|63.0|olive en saumure
les molins mahjoub|2025-02-28|1.0|2967.9804|896.4|896.4|4.5|france|199.2|pate d'olive
les molins mahjoub|2025-03-01|1.0|254.2848|76.80000000000001|76.80000000000001|6.4|france|12.0|tomate séché
les molins mahjoub|2025-03-02|1.0|310.227456|93.696|93.696|6.1|france|15.36|artichaut
les molins mahjoub|2025-03-03|1.0|4195.6992|1267.2|1267.2|4.8|france|264.0|citron
les molins mahjoub|2025-03-04|1.0|4807.572|1452|1452.0|2.75|france|528.0|citron confit
les molins mahjoub|2025-03-05|1.0|915.42528|276.48|276.48|4.8|france|57.6|piment cayenne
les molins mahjoub|2025-03-13|1.0|2193.4563456|653.2032|653.2032|10.468|belgique|62.4|tomate séché
les molins mahjoub|2025-03-14|1.0|5351.280189839999|1593.59148|1593.59148|18.406|belgique|86.58|harissa traditionnelle
les molins mahjoub|2025-03-15|1.0|1799.45978784|535.87248|535.87248|18.568|belgique|28.86|pate d'artichaut
les molins mahjoub|2025-03-13|1.0|8983.349672879998|2675.20836|2675.20836|9.697|france|275.88|artichaut
les molins mahjoub|2025-03-14|1.0|1476.1875456|439.6032|439.6032|3.816|france|115.2|citron confit
les molins mahjoub|2025-03-15|1.0|1169.4866304|348.2688|348.2688|3.88|france|89.76|tige d'artichaut
les molins mahjoub|2025-03-16|1.0|4567.95778368|1360.32096|1360.32096|4.066|france|334.56|pâte alimentaire
les molins mahjoub|2025-03-17|1.0|576.9742464000001|171.8208|171.8208|5.966|france|28.8|pate d'ail
les molins mahjoub|2025-03-26|1.0|8301.721950719999|2476.64736|2476.64736|10.197|france|242.88|artichaut
les molins mahjoub|2025-03-27|1.0|682.440384|203.592|203.592|8.483|france|24.0|tomate séché
les molins mahjoub|2025-03-28|1.0|627.4758969600001|187.19448|187.19448|4.171|france|44.88|tige d'artichaut
les molins mahjoub|2025-03-29|1.0|6258.210816000001|1867.008|1867.008|5.2|france|359.04|pâte alimentaire
les molins mahjoub|2025-03-27|1.0|539.1784944|160.8048|160.8048|10.308|danemark|15.6|olive en saumure
les molins mahjoub|2025-03-28|1.0|2607.2928|777.6|777.6|10.8|danemark|72.0|pate d'olive
les molins mahjoub|2025-03-29|1.0|428.533518|127.806|127.806|6.265|danemark|20.4|sauce tastour
les molins mahjoub|2025-03-30|1.0|623.5775279999999|185.976|185.976|2.46|danemark|75.6|pâte alimentaire
les molins mahjoub|2025-03-31|1.0|321.898059|96.003|96.003|10.667|danemark|9.0|slice de citron confit
les molins mahjoub|2025-04-01|1.0|949.6058124000001|283.2108|283.2108|8.906|danemark|31.8|confiture d'orange amer
les molins mahjoub|2025-04-02|1.0|502.9660944|150.0048|150.0048|10.417|danemark|14.4|confiture d'abricot
les molins mahjoub|2025-04-03|1.0|502.9660944|150.0048|150.0048|10.417|danemark|14.4|confiture de citron
les molins mahjoub|2025-04-14|1.0|1150.56|338.4|338.4|28.2|danemark|12.0|capre
les molins mahjoub|2025-04-15|1.0|1448.4612|426.018|426.018|19.19|danemark|22.2|harissa traditionnelle
les molins mahjoub|2025-04-16|1.0|2487.78|731.7|731.7|8.13|danemark|90.0|m'hamsa
les molins mahjoub|2025-04-17|1.0|2162.4|636|636.0|10.6|danemark|60.0|citron confit
les molins mahjoub|2025-04-18|1.0|327.42|96.3|96.3|10.7|danemark|9.0|slice de citron confit
les molins mahjoub|2025-04-19|1.0|783.1804800000001|230.3472|230.3472|12.97|danemark|17.76|tige d'artichaut
les molins mahjoub|2025-04-30|1.0|939.4755925402524|277.9513587397196|277.9513587397196|5.01355264682034|france|55.44|olive en saumure
les molins mahjoub|2025-05-01|1.0|601.3873907100659|177.9252635236882|177.9252635236882|7.413552646820341|france|24.0|tomate séché
les molins mahjoub|2025-05-02|1.0|560.827390710066|165.9252635236882|165.9252635236882|6.913552646820341|france|24.0|pâte de tomate séché
les molins mahjoub|2025-05-03|1.0|2031.220895299432|600.9529276033824|600.9529276033824|7.11355264682034|france|84.48|coeur d'artichaut
les molins mahjoub|2025-05-04|1.0|2122.427100326653|627.9370119309625|627.9370119309625|6.81355264682034|france|92.16|artichaut
les molins mahjoub|2025-05-05|1.0|8964.391736212207|2652.186904204795|2652.186904204795|9.61355264682034|france|275.88|pickles d'artichaut
les molins mahjoub|2025-05-06|1.0|2585.306145627244|764.8834750376461|764.8834750376461|8.61355264682034|france|88.8|pate d'artichaut
les molins mahjoub|2025-05-07|1.0|1718.09171912429|508.3111595042279|508.3111595042279|4.81355264682034|france|105.6|citron confit
les molins mahjoub|2025-05-08|1.0|1682.893325462759|497.8974335688636|497.8974335688636|3.81355264682034|france|130.56|tige d'artichaut
les molins mahjoub|2025-05-09|1.0|964.3681191520908|285.3160115834588|285.3160115834588|4.113552646820341|france|69.36|sauce tomate
les molins mahjoub|2025-05-10|1.0|1162.318424834936|343.8811907795668|343.8811907795668|4.01355264682034|france|85.68|sauce mahbouba
les molins mahjoub|2025-05-05|1.0|1911.016224|563.7216000000001|563.7216000000001|9.034|belgique|62.4|pate d'olive
les molins mahjoub|2025-05-06|1.0|3437.671536|1014.0624|1014.0624|10.834|belgique|93.6|tomate séché
les molins mahjoub|2025-05-07|1.0|3673.1322576|1083.51984|1083.51984|18.772|belgique|57.72|harissa traditionnelle
les molins mahjoub|2025-05-08|1.0|3704.8309272|1092.87048|1092.87048|18.934|belgique|57.72|pate d'artichaut
les molins mahjoub|2025-05-09|1.0|235.836198|69.5682|69.5682|8.919|belgique|7.8|olive en saumure
les molins mahjoub|2025-05-10|1.0|121.5187875|35.84625|35.84625|9.559|belgique|3.75|olive au citron
les molins mahjoub|2025-05-11|1.0|186.27372|54.94799999999999|54.94799999999999|9.158|belgique|6.0|olive au harissa
les molins mahjoub|2025-05-12|1.0|383.1649200000001|113.028|113.028|9.419|belgique|12.0|pate d'olive
les molins mahjoub|2025-05-13|1.0|2127.4623|627.57|627.57|20.919|belgique|30.0|capre
les molins mahjoub|2025-05-14|1.0|630.511524|185.9916|185.9916|16.756|belgique|11.1|pâte de tomate séché
les molins mahjoub|2025-05-15|1.0|6173.5968|1821.12|1821.12|3.794|belgique|480.0|m'hamsa
les molins mahjoub|2025-05-16|1.0|876.49128|258.552|258.552|13.68|belgique|18.9|pate d'ail
les molins mahjoub|2025-05-17|1.0|1926.27936|568.2239999999999|568.2239999999999|5.919|belgique|96.0|citron confit
les molins mahjoub|2025-05-18|1.0|13357.2601008|3940.19472|3940.19472|6.271|belgique|628.32|shak shuka
les molins mahjoub|2025-05-19|1.0|1857.61152|547.9680000000001|547.9680000000001|11.416|belgique|48.0|artichaut
les molins mahjoub|2025-05-20|1.0|517.6320000000001|153.6|153.6|6.4|france|24.0|tomate séché
les molins mahjoub|2025-05-21|1.0|477.1920000000001|141.6|141.6|5.9|france|24.0|pâte de tomate séché
les molins mahjoub|2025-05-22|1.0|4255.711488|1262.8224|1262.8224|6.09|france|207.36|coeur d'artichaut
les molins mahjoub|2025-05-23|1.0|676.1568|200.64|200.64|1.9|france|105.6|citron confit
les molins mahjoub|2025-05-12|1.0|1798.497792|535.2672|535.2672|8.578|belgique|62.4|pate d'olive
les molins mahjoub|2025-05-13|1.0|1087.946496|323.7936|323.7936|10.378|belgique|31.2|tomate séché
les molins mahjoub|2025-05-22|1.0|749.5487999999999|221.76|221.76|4.0|france|55.44|olive en saumure
les molins mahjoub|2025-05-23|1.0|415.3344|122.88|122.88|6.4|france|19.2|tomate séché
les molins mahjoub|2025-05-24|1.0|335.0256|99.12|99.12|5.9|france|16.8|pâte de tomate séché
les molins mahjoub|2025-05-25|1.0|1587.924|469.8|469.8|5.8|france|81.0|citron émincé
les molins mahjoub|2025-05-26|1.0|154.128|45.59999999999999|45.59999999999999|3.8|france|12.0|citron confit
les molins mahjoub|2025-06-11|1.0|434.47872|128.544|128.544|10.3|danemark|12.48|olive en saumure
les molins mahjoub|2025-06-12|1.0|3942.432|1166.4|1166.4|10.8|danemark|108.0|pate d'olive
les molins mahjoub|2025-06-13|1.0|778.752|230.4|230.4|12.0|danemark|19.2|tomate séché
les molins mahjoub|2025-06-14|1.0|425.8292999999999|125.985|125.985|11.35|danemark|11.1|harissa
les molins mahjoub|2025-06-15|1.0|1660.932|491.4|491.4|5.46|danemark|90.0|m'hamsa
les molins mahjoub|2025-06-16|1.0|628.5988799999999|185.976|185.976|2.46|danemark|75.6|pâte alimentaire
les molins mahjoub|2025-06-17|1.0|1136.32896|336.192|336.192|10.3|danemark|32.64|shak shuka
les molins mahjoub|2025-06-18|1.0|4209.5196|1245.42|1245.42|18.7|danemark|66.6|pate d'artichaut
les molins mahjoub|2025-06-11|1.0|3642.397512|1077.6324|1077.6324|18.67|belgique|57.72|pate d'artichaut
les molins mahjoub|2025-06-25|1.0|1101.99|327|327.0|5.45|france|60.0|pate d'olive
les molins mahjoub|2025-06-26|1.0|768.36|228|228.0|4.75|france|48.0|citron confit
les molins mahjoub|2025-06-27|1.0|1923.844032|570.8736|570.8736|6.36|france|89.76|piment doux
les molins mahjoub|2025-06-28|1.0|2295.49572|681.156|681.156|4.77|france|142.8|shak shuka
les molins mahjoub|2025-06-29|1.0|1023.132|303.6|303.6|5.75|france|52.8|piment cayenne
les molins mahjoub|2025-06-30|1.0|6379.8144|1893.12|1893.12|4.0|france|473.28|sauce maghmouma
les molins mahjoub|2025-07-01|1.0|1154.9664|342.72|342.72|4.0|france|85.68|sauce makbouba
les molins mahjoub|2025-07-08|1.0|1280.304|376.5600000000001|376.5600000000001|5.23|france|72.0|pate d'olive
les molins mahjoub|2025-07-09|1.0|10461.0384|3076.776|3076.776|4.53|france|679.2|citron confit
les molins mahjoub|2025-07-10|1.0|1522.86816|447.9024000000001|447.9024000000001|4.99|france|89.76|piment doux
les molins mahjoub|2025-07-11|1.0|1489.1184|437.9760000000001|437.9760000000001|5.53|france|79.2|piment cayenne
les molins mahjoub|2025-07-12|1.0|3984.17712|1171.8168|1171.8168|3.73|france|314.16|sauce makbouba
les molins mahjoub|2025-07-16|1.0|1834.56|546|546.0|8.75|belgique|62.4|pate d'olive
les molins mahjoub|2025-07-17|1.0|4423.9104|1316.64|1316.64|10.55|belgique|124.8|tomate séché
les molins mahjoub|2025-07-18|1.0|5378.903711999999|1600.8642|1600.8642|18.49|belgique|86.58|harissa traditionnelle
les molins mahjoub|2025-07-19|1.0|3616.966079999999|1076.478|1076.478|18.65|belgique|57.72|pate d'artichaut
les molins mahjoub|2025-07-21|1.0|348.264|103.65|103.65|13.82|danemark|7.5|olive au citron
les molins mahjoub|2025-07-22|1.0|1674.0864|498.24|498.24|10.38|danemark|48.0|pate d'olive
les molins mahjoub|2025-07-23|1.0|1120.0896|333.36|333.36|27.78|danemark|12.0|capre
les molins mahjoub|2025-07-24|1.0|1400.7168|416.88|416.88|11.58|danemark|36.0|tomate séché
les molins mahjoub|2025-07-25|1.0|9960.57216|2964.456|2964.456|16.72|danemark|177.3|harissa traditionnelle
les molins mahjoub|2025-07-26|1.0|1545.8688|460.08|460.08|12.78|danemark|36.0|harissa au citron et capre
les molins mahjoub|2025-07-27|1.0|1251.936|372.6|372.6|5.4|danemark|69.0|m'hamsa
les molins mahjoub|2025-07-28|1.0|508.0319999999999|151.2|151.2|5.04|danemark|30.0|ww m'hamsa
les molins mahjoub|2025-07-29|1.0|903.0067199999999|268.752|268.752|10.18|danemark|26.4|citron confit
les molins mahjoub|2025-07-30|1.0|1934.63424|575.784|575.784|14.54|danemark|39.6|artichaut
les molins mahjoub|2025-07-31|1.0|906.0710400000002|269.664|269.664|8.48|danemark|31.8|confiture d'orange amer
les molins mahjoub|2025-08-01|1.0|483.35616|143.856|143.856|9.99|danemark|14.4|confiture d'abricot
les molins mahjoub|2025-08-02|1.0|2936.392704|873.9264|873.9264|39.58|danemark|22.08|coriandre
les molins mahjoub|2025-07-21|1.0|19750.752|5878.2|5878.2|20.2|belgique|291.0|capre
les molins mahjoub|2025-07-22|1.0|1221.696|363.6|363.6|12.12|belgique|30.0|tomate séché
les molins mahjoub|2025-07-23|1.0|3363.58008|1001.0655|1001.0655|13.05|belgique|76.71|pâte de tomate séché
les molins mahjoub|2025-07-24|1.0|712.72656|212.121|212.121|19.11|belgique|11.1|harissa traditionnelle
les molins mahjoub|2025-07-25|1.0|17418.24|5184|5184.0|5.4|belgique|960.0|m'hamsa
les molins mahjoub|2025-07-26|1.0|3881.364479999999|1155.168|1155.168|15.28|belgique|75.6|pate d'ail
les molins mahjoub|2025-07-27|1.0|14014.34496|4170.936|4170.936|13.42|belgique|310.8|artichaut
les molins mahjoub|2025-07-28|1.0|2812.30488|836.9955|836.9955|13.71|belgique|61.05|pate d'artichaut
les molins mahjoub|2025-07-31|1.0|609.5519999999999|183.6|183.6|4.5|france|40.8|pate d'olive
les molins mahjoub|2025-08-01|1.0|657.36|198|198.0|2.75|france|72.0|citron confit
les molins mahjoub|2025-08-02|1.0|2079.648|626.4|626.4|5.8|france|108.0|slice de citron confit
les molins mahjoub|2025-08-03|1.0|1172.8896|353.28|353.28|6.4|france|55.2|tomate séché
les molins mahjoub|2025-08-18|1.0|7713.023999999999|2323.2|2323.2|4.84|belgique|480.0|m'hamsa
les molins mahjoub|2025-08-19|1.0|2875.95|866.25|866.25|13.75|belgique|63.0|pate d'ail
les molins mahjoub|2025-08-20|1.0|13225.382016|3983.5488|3983.5488|6.34|belgique|628.32|shak shuka
les molins mahjoub|2025-08-18|1.0|517.92|156|156.0|10.0|danemark|15.6|olive en saumure
les molins mahjoub|2025-08-19|1.0|639.3523200000001|192.576|192.576|5.9|danemark|32.64|sauce tastour
les molins mahjoub|2025-08-20|1.0|812.7359999999999|244.8|244.8|5.1|danemark|48.0|ww m'hamsa
les molins mahjoub|2025-08-21|1.0|507.96|153|153.0|5.1|danemark|30.0|couscous
les molins mahjoub|2025-08-22|1.0|527.0831999999999|158.76|158.76|2.1|danemark|75.6|pâte alimentaire
les molins mahjoub|2025-08-23|1.0|980.0640000000001|295.2|295.2|12.3|danemark|24.0|piment doux
les molins mahjoub|2025-08-24|1.0|615.528|185.4|185.4|10.3|danemark|18.0|slice de citron confit
les molins mahjoub|2025-08-25|1.0|2697.5664|812.52|812.52|18.3|danemark|44.4|artichaut
les molins mahjoub|2025-08-26|1.0|748.8326400000001|225.552|225.552|12.7|danemark|17.76|tige d'artichaut
les molins mahjoub|2025-08-27|1.0|1013.5296|305.28|305.28|10.6|danemark|28.8|confiture de figue
les molins mahjoub|2025-08-28|1.0|843.3331199999999|254.016|254.016|12.6|danemark|20.16|sauce de citron et figue
les molins mahjoub|2025-08-26|1.0|244.2492|71.83800000000001|71.83800000000001|9.21|france|7.8|olive en saumure
les molins mahjoub|2025-08-27|1.0|251.175|73.875|73.875|9.85|france|7.5|olive au citron
les molins mahjoub|2025-08-28|1.0|371.688|109.32|109.32|9.11|france|12.0|olive à l'ail
les molins mahjoub|2025-08-29|1.0|865.368|254.52|254.52|21.21|france|12.0|capre
les molins mahjoub|2025-08-30|1.0|3242.988|953.82|953.82|7.57|france|126.0|tomate séché
